1/22/20,30
1/23/20,32
1/24/20,39
1/25/20,42
1/26/20,56
1/27/20,65
1/28/20,108
1/29/20,127
1/30/20,145
1/31/20,225
2002/1/20,287
2002/2/20,476
2002/3/20,627
2002/4/20,857
2002/5/20,1129
2002/6/20,1492
2002/7/20,2016
2002/8/20,2616
2002/9/20,3245
2002/10/20,3947
2002/11/20,4684
2002/12/20,5151
2/13/20,6294
2/14/20,8057
2/15/20,9396
2/16/20,10866
2/17/20,12583
2/18/20,14352
2/19/20,16121
2/20/20,18179
2/21/20,18892
2/22/20,22889
2/23/20,23394
2/24/20,25227
2/25/20,27905
2/26/20,30386
2/27/20,33278
2/28/20,36710
2/29/20,39781
2003/1/20,42717
2003/2/20,45601
2003/3/20,48227
2003/4/20,51169
2003/5/20,53795
2003/6/20,55863
2003/7/20,58357
2003/8/20,60694
2003/9/20,62493
2003/10/20,64400
2003/11/20,66998
2003/12/20,68321
3/13/20,70248
3/14/20,72620
3/15/20,76031
3/16/20,78086
3/17/20,80830
3/18/20,83317
3/19/20,84958
3/20/20,87403
3/21/20,91650
3/22/20,97867
3/23/20,98335
3/24/20,107974
3/25/20,113753
3/26/20,122125
3/27/20,130910
3/28/20,139421
3/29/20,148877
3/30/20,164214
3/31/20,177804
2004/1/20,193076
2004/2/20,210219
2004/3/20,225641
2004/4/20,246053
2004/5/20,259889
2004/6/20,276598
2004/7/20,299860
2004/8/20,328742
2004/9/20,353996
2004/10/20,375734
2004/11/20,401984
2004/12/20,421367
4/13/20,448624
4/14/20,473698
4/15/20,510237
4/16/20,541120
4/17/20,567304
4/18/20,591170
4/19/20,622953
4/20/20,645131
4/21/20,679933
4/22/20,710018
4/23/20,738748
4/24/20,788777
4/25/20,816532
4/26/20,845344
4/27/20,873228
4/28/20,906440
4/29/20,948517
4/30/20,1013633
2005/1/20,1051790
2005/2/20,1092441
2005/3/20,1124974
2005/4/20,1159060
2005/5/20,1195533
2005/6/20,1241652
2005/7/20,1281177
2005/8/20,1317590
2005/9/20,1371031
2005/10/20,1404840
2005/11/20,1451725
2005/12/20,1488767
5/13/20,1544639
5/14/20,1584350
5/15/20,1632453
5/16/20,1688864
5/17/20,1729872
5/18/20,1782788
5/19/20,1834840
5/20/20,1893810
5/21/20,1945030
5/22/20,2053577
5/23/20,2108411
5/24/20,2163938
5/25/20,2227667
5/26/20,2282819
5/27/20,2346146
5/28/20,2413009
5/29/20,2490274
5/30/20,2560724
5/31/20,2637108
2006/1/20,2692033
2006/2/20,2796145
2006/3/20,2875236
2006/4/20,2945306
2006/5/20,3014471
2006/6/20,3086675
2006/7/20,3141784
2006/8/20,3293395
2006/9/20,3375665
2006/10/20,3454836
2006/11/20,3540715
2006/12/20,3620435
6/13/20,3706327
6/14/20,3777146
6/15/20,3857421
6/16/20,3955284
6/17/20,4074115
6/18/20,4155278
6/19/20,4250268
6/20/20,4366122
6/21/20,4434808
6/22/20,4526441
6/23/20,4630496
6/24/20,4746247
6/25/20,4839131
6/26/20,4945111
6/27/20,5051397
6/28/20,5140600
6/29/20,5235171
6/30/20,5352511
2007/1/20,5468425
2007/2/20,5753359
2007/3/20,5863247
2007/4/20,6059007
2007/5/20,6178370
2007/6/20,6302069
2007/7/20,6447102
2007/8/20,6605158
2007/9/20,6739776
2007/10/20,6879222
2007/11/20,7004914
2007/12/20,7116750
7/13/20,7257073
7/14/20,7399325
7/15/20,7559131
7/16/20,7711616
7/17/20,7895037
7/18/20,8045824
7/19/20,8133882
7/20/20,8293010
7/21/20,8467706
7/22/20,8647438
7/23/20,8823668
7/24/20,9051968
7/25/20,9271780
7/26/20,9415081
7/27/20,9586464
7/28/20,9756922
7/29/20,9959508
7/30/20,10173027
7/31/20,10372633
2008/1/20,10553544
2008/2/20,10692268
2008/3/20,10914713
2008/4/20,11138370
2008/5/20,11360065
2008/6/20,11548872
2008/7/20,11740918
2008/8/20,11941162
2008/9/20,12119940
2008/10/20,12284151
2008/11/20,12589219
2008/12/20,12829864
8/13/20,12993780
8/14/20,13277022
8/15/20,13445626
8/16/20,13678580
8/17/20,13889592
8/18/20,14117187
8/19/20,14335184
8/20/20,14542974
8/21/20,14711468
8/22/20,14921385
8/23/20,15137916
8/24/20,15337337
8/25/20,15568886
8/26/20,15794620
8/27/20,16001857
8/28/20,16200975
8/29/20,16412388
8/30/20,16622628
8/31/20,16823418
2009/1/20,17081380
2009/2/20,17300617
2009/3/20,17521986
2009/4/20,17735487
2009/5/20,17936475
2009/6/20,18148266
2009/7/20,18345814
2009/8/20,18547611
2009/9/20,18787878
2009/10/20,19004539
2009/11/20,19228209
2009/12/20,19451143
9/13/20,19638991
9/14/20,19867490
9/15/20,20093777
9/16/20,20323254
9/17/20,20543465
9/18/20,20794614
9/19/20,21031599
9/20/20,21268676
9/21/20,21514154
9/22/20,21733547
9/23/20,21996960
9/24/20,22252630
9/25/20,22491838
9/26/20,22753981
9/27/20,22967860
9/28/20,23190402
9/29/20,23431686
9/30/20,23679904
2010/1/20,23901446
2010/2/20,24073731
2010/3/20,24329332
2010/4/20,24551491
2010/5/20,24788959
2010/6/20,25021585
2010/7/20,25276776
2010/8/20,25496282
2010/9/20,25703072
2010/10/20,25898477
2010/11/20,26121117
2010/12/20,26321236
10/13/20,26513681
10/14/20,26725966
10/15/20,26933293
10/16/20,27136307
10/17/20,27334590
10/18/20,27536101
10/19/20,27738632
10/20/20,27950079
10/21/20,28161301
10/22/20,28388094
10/23/20,28594828
10/24/20,28806409
10/25/20,29003667
10/26/20,29242802
10/27/20,29832507
